自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
101,项目前期阶段,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-1,,1
10101,立项,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1
1010101,可行性研究,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.1
1010102,规划选址,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.2
1010103,地名申请,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.3
1010104,计委立项,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.4
1010105,投资预算,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.5
1010106,融资计划,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.6
1010107,建设用地规划许可证,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.7
1010108,土地勘测,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.8
1010109,出让合同,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.9
1010110,建设用地批准书,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.10
1010111,房地产权证（地块证）,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.11
10102,方案,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2
1010201,方案设计单位委托,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.1
101020101,设计招投标,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.1.1
101020102,地勘招投标,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.1.2
1010202,概念设计,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.2
1010203,市场调查,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.3
1010204,项目策划、定位,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.4
1010205,编制方案设计任务书,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.5
1010206,组织方案设计,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.6
1010207,前期配套单位方案征询,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7
101020701,上水,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.1
101020702,电,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.2
101020703,煤,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.3
101020704,电信,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.4
101020705,有线,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.5
101020706,环保,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.6
101020707,环卫,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.7
101020708,绿化,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.8
101020709,人防,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.9
101020710,河道,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.10
101020711,市政,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.11
101020712,教育,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.12
1010208,方案会审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8
101020801,内部方案会审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.1
101020802,一审方案,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.2
101020803,终审方案,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.3
101020804,方案评审会,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.4
10103,拆迁,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3
1010301,拆迁许可证领取,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.1
1010302,拆迁委托,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.2
1010303,拆迁赔偿,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.3
1010304,拆迁清场,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.4
10104,方案扩初,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4
1010401,扩初设计,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.1
1010402,扩初内审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.2
1010403,扩初评审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3
101040301,环卫,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.1
101040302,环保,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.2
101040303,绿化,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.3
101040304,交通,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.4
101040305,人防,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.5
101040306,卫生,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.6
101040307,市政,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.7
101040308,水,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.8
101040309,电,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.9
101040310,煤,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.10
101040311,电信,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.11
101040312,有线,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.12
101040313,技防,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.13
101040314,河道,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.14
101040315,教育,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.15
101040316,房地局,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.16
101040317,规划局,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.17
101040318,抗震办,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.18
101040319,防雷,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.19
101040320,街道，镇,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3.20
1010404,公建配套核定,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.4
1010405,扩初方案报批,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.5
1010406,施工现场三通工作,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.6
101040601,临水，临电,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.6.1
101040602,场地平整,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.6.2
10105,施工图纸,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5
1010501,施工图设计单位委托,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5.1
1010502,施工图,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5.2
1010503,勘探设计单位委托,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5.3
1010504,勘探结果报告,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5.4
1010505,审图单位委托,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5.5
1010506,施工图内审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5.6
1010507,施工图审查,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.5.7
10106,开工前相关证照,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6
1010601,职能部门证照,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.1
101060101,环卫,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.1.1
101060102,环保,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.1.2
101060103,绿化,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.1.3
101060104,交通,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.1.4
101060105,人防,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.1.5
101060106,卫生,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.1.6
1010602,领取建设工程规划许可证,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.2
1010603,招投标手续,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.3
101060301,监理招投标,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.3.1
101060302,施工招投标,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.3.2
1010604,工程报监手续,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.4
1010605,领取建设工程施工许可证,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.5
1010606,施工合同签订,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.6
101060601,施工图预算,,未开始,一般,0%,2007-7-1,2007-10-1,,,1.6.6.1
1010607,筹融资,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.7
1010608,大市政配套,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.8
1010609,建设工程放样复验,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.6.9
